system:index,NDVI,aspect,b1,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b2,b3,b4,b5,b6,b7,b8,b9,chm,ghmi,elevation,landcover,nari,ncri,random,slope,snow_cover,snow_depth,swe,.geo
3642_0,0.6504699963149498,205,2.9010315,12.161316,-6.9566956,1420.0326,223.85136,33.855434,33.855434,532.7162,170.03412,463.64392,218.81657,2.9010315,2.9010315,2.9010315,18.44043,-1.182251,-1.182251,9.073944,-4.7141724,8,0.18208422,1683,312,0.262069,0.40860212,0.5852463118193779,18,55.228519076144266,0.41329629030936504,0.11674325084555817,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.645833333333332,46.81249999999999]}"
3643_0,0.7698031830458208,95,5.3320007,13.959686,-3.9238586,1789.6721,276.72366,48.993366,48.993366,684.34314,247.98682,639.792,306.46313,5.3320007,5.3320007,5.3320007,20.470581,0.9637146,0.9637146,12.768158,-0.77474976,7,0.14438106,1319,313,0.28492525,0.4179167,0.6580271676347323,10,45.12818818933823,0.25357956023070566,0.06990367785687322,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.687499999999996,47.52083333333332]}"
3647_0,0.6725368861775812,11,6.910736,16.085968,-2.9273376,1394.7421,227.68889,28.917845,28.917845,513.51886,164.3009,415.73972,232.3787,6.910736,6.910736,6.910736,22.358948,2.8810425,2.8810425,11.120728,-0.12792969,5,0.56690305,1149,312,0.27643785,0.5009381,0.933891496710756,20,30.15288201717824,0.07907617989056087,0.017129321974594734,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.6875,46.62083333333332]}"
3648_0,0.756801998594912,262,4.398926,13.427216,-5.445404,1061.6327,163.5061,26.759565,26.759565,413.6906,121.03893,412.43457,145.39307,4.398926,4.398926,4.398926,20.086151,0.025848389,0.025848389,12.66153,-4.3793945,12,0.12355839,1374,312,0.22804473,0.5145005,0.2969249330975485,11,28.05005929288503,0.0615302841249145,0.0123776960090258,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.504166666666666,46.970833333333324]}"
3649_0,0.46669703013999114,244,9.763214,19.201233,-0.5321655,762.1737,129.5683,17.474073,17.474073,290.06485,91.87941,250.39601,119.75115,9.763214,9.763214,9.763214,25.851532,5.2836914,5.2836914,15.060333,2.0526733,1,0.94638324,354,112,0.16566606,0.2984294,0.34114704347784763,2,6.641222604594163,0.007324441404468764,0.001158208538286772,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.479166666666668,47.04583333333333]}"
3650_0,0.6109229732293342,237,9.656464,19.036804,-0.4945984,763.43353,129.20778,17.647022,17.647022,292.7817,90.44876,255.2516,115.831955,9.656464,9.656464,9.656464,25.53476,5.3592224,5.3592224,15.352081,1.8997192,2,0.94938415,386,243,0.23558937,0.40769792,0.21989368320332103,1,6.593676078716371,0.006821353632295942,0.0010710224624752075,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.662500000000001,47.16249999999999]}"
3651_0,0.7685845139298761,19,7.960968,16.818512,-1.5132751,1413.1417,221.72096,39.385868,39.385868,515.9371,205.6141,468.47247,274.29578,7.960968,7.960968,7.960968,23.202423,3.954834,3.954834,14.247955,2.6662598,7,0.4309987,717,231,0.22999276,0.49975383,0.21948382410362122,1,16.973082410653216,0.03531299874601003,0.006666702600140796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.145833333333332,47.91249999999999]}"
3652_0,0.7536291897562633,171,8.623413,17.784729,-1.2513733,1257.6577,208.18454,24.563482,24.563482,476.17316,143.0924,384.77094,202.93967,8.623413,8.623413,8.623413,24.079529,4.57724,4.57724,13.0466,1.4943237,15,0.29062307,690,242,0.23263194,0.53900677,0.9509983422405197,5,19.627567540006556,0.03599671495596785,0.006741735579703314,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.029166666666665,46.63749999999999]}"
3653_0,0.7566519843787813,314,7.2980957,16.091309,-2.097229,1213.7012,196.99995,34.575993,34.575993,456.90482,170.6284,410.22723,221.03949,7.2980957,7.2980957,7.2980957,22.211975,3.5782776,3.5782776,13.828827,0.7319946,11,0.17520644,785,311,0.35860983,0.45047924,0.8357514388452697,7,14.358528913018695,0.024698280929377564,0.0043679712245956815,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.570833333333333,47.96249999999999]}"
3654_0,0.6873639415363646,64,3.0144958,11.970001,-6.420746,1933.9089,289.33493,54.144566,54.144566,703.1208,280.1635,645.6263,364.87784,3.0144958,3.0144958,3.0144958,18.615112,-1.2776489,-1.2776489,10.323395,-3.0820618,3,0.034581877,1545,312,0.14114282,0.31620607,0.18141781918482802,10,49.5720282753363,0.4455243557270292,0.13593390740274133,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.570833333333333,47.61249999999999]}"
3655_0,0.7032888465930652,219,3.5110168,12.079285,-5.600067,1471.8262,228.19264,41.0582,41.0582,573.4375,184.27742,556.72174,221.65144,3.5110168,3.5110168,3.5110168,17.893494,-0.19815063,-0.19815063,12.255981,-4.426422,4,0.12552196,1506,321,0.273363,0.51858485,0.3545987642833175,8,24.602284234460498,0.0538709703994243,0.011365086533302484,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.729166666666668,47.54583333333332]}"
